"Below a list of things that I expect to implement in the next version of WhatsApp module:","Nachfolgend eine Liste der Dinge, die ich in der nächsten Version dieses Moduls voraussichtlich implementieren werde:<br>
                     - Entfernen Sie die Schaltfläche auf bestimmten Seiten (z. B. Zahlung; Login;)<br>
                     - Konfigurieren Sie die Anzeige der Schaltfläche nur für ausgewählte Gruppen<br>
                     - Option zum Öffnen von Whats mit Gruppennachricht erstellen<br>
                     - Erlauben Sie verschiedenen Whats-Nummern, den Dienst zu unterteilen.<br><br>
                     Wenn Sie eine andere Idee haben, kontaktieren Sie mich bitte unter <a href='https://de.mariosam.eu/kontakt/' target='_blank'>Mario SAM</a>.<br>
                     Wenn Ihnen dieses KOSTENLOSE Modul gefallen hat, können Sie mir auch mit einer Spende in <a href='https://www.patreon.com/MarioSAM' target='_blank'>Patreon</a> helfen. Dankeschön!"
"Bottom Left","Unten Links"
"Bottom Right","Unten Rechts"
"Button Color","Knopffarbe"
"Button Message","Button Nachricht"
"Center Left","Mitte Links"
"Center Right","Mitte Rechts"
"Choose your button position.","Wählen Sie Ihre Tastenposition."
"Custom CSS","Benutzerdefinierte CSS"
"Custom JS","Benutzerdefinierte JS"
"Desktop/Mobile","Desktop/Mobile"
"Desktop Only","Nur Desktop"
"Expected for the next WhatsApp versions","Wird für die nächsten Versionen erwartet"
"How to use WhatsApp? Access the Mario SAM blog and read the post.","Wie benutzt man? Greifen Sie auf den <a href='https://de.mariosam.eu' target='_blank'>Mario SAM-Blog</a> zu und lesen Sie den Beitrag."
"Include site URL with the chat?","Site-URL in den Chat einbinden?"
"Insert your favorite color.","Fügen Sie Ihre Lieblingsfarbe ein."
"Mario SAM","Mario SAM"
"Message next to the button (optional).","Meldung neben der Schaltfläche (optional)."
"Message when chat opens (optional).","Nachricht beim Öffnen des Chats (optional)."
"Module Enable","Modul Aktivieren"
"Mobile Only","Nur Mobil"
"My Contact","Mein Kontakt"
"Need a help?","Benötigen Sie Hilfe?"
"No","Nein"
"Phone Number","Telefonnummer"
"Screen Position","Bildschirmposition"
"Show URL","URL Anzeigen"
"ShowUp Device","ShowUp-Gerät"
"Top Left","Oben Links"
"Top Right","Oben Rechts"
"Welcome Message","Willkommensnachricht"
"WhatsApp","WhatsApp"
"WhatsApp Frontend","WhatsApp Frontend"
"Whatsapp number: 55 48 98765 4321. (no spaces)","WhatsApp-Nummer: 55 48 98765 4321. (keine Leerzeichen)"
"WhatsApp Settings","WhatsApp die Einstellungen"
"Which device do you want to show up the button?","Auf welchem Gerät möchten Sie die Schaltfläche anzeigen?"
"Yes","Ja"
"You can add personal css script.","Sie können ein persönliches CSS-Skript hinzufügen."
"You can add personal javascript code.","Sie können persönlichen Javascript-Code hinzufügen."
