"Below a list of things that I expect to implement in the next version of WhatsApp module:","Abaixo uma lista de coisas que eu espero implementar nas próximas versões deste módulo:<br>
                    - remover o botão em páginas específicas (ex.: pagamento; login;)<br>
                    - configurar para exibir botão para apenas grupos selecionados<br>
                    - criar opção de abrir whats com mensagem para grupo<br>
                    - permitir diferentes números de whats para subdividir atendimento<br><br>
                    Se você tem outras idéias ou sugestões, entre em contato <a href='https://mariosam.com.br/contato/' target='_blank'>Mario SAM</a>.<br>
                    Se você adorou este módulo gratuito, pode me recompensar com uma doação no <a href='https://www.padrim.com.br/mariosam' target='_blank'>Padrim</a>. Obrigado!"
"Bottom Left","Rodapé Esquerda"
"Bottom Right","Rodapé Direita"
"Button Color","Cor do Botão"
"Button Message","Mensagem do Botão"
"Center Left","Centro Esquerda"
"Center Right","Centro Direita"
"Choose your button position.","Selecione a posição do botão."
"Custom CSS","Customizar CSS"
"Custom JS","Customizar JS"
"Desktop/Mobile","Desktop/Mobile"
"Desktop Only","Apenas Desktop"
"Expected for the next WhatsApp versions","Esperado para as próximas versões"
"How to use WhatsApp? Access the Mario SAM blog and read the post.","Como usar? Acesse o blog <a href='https://mariosam.com.br/destaques/modulo-m2-whatsapp/' target='_blank'>Mario SAM</a> e leia o artigo."
"Include site URL with the chat?","Incluir a URL do site no chat?"
"Insert your favorite color.","Informe sua cor favorita."
"Mario SAM","Mario SAM"
"Message next to the button (optional).","Mensagem exibida ao lado do botão (opcional)."
"Message when chat opens (optional).","Mensagem ao abrir o chat (opcional)."
"Module Enable","Habilitar Módulo"
"Mobile Only","Apenas Mobile"
"My Contact","Meu Contato"
"Need a help?","Precisa de ajuda?"
"No","Não"
"Phone Number","Número do Telefone"
"Screen Position","Posição na Tela"
"Show URL","Exibir URL"
"ShowUp Device","Ativar nos Dispositivos"
"Top Left","Cabeçalho Esquerda"
"Top Right","Cabeçalho Direita"
"Welcome Message","Mensagem de Primeiro Contato"
"WhatsApp","WhatsApp"
"WhatsApp Frontend","WhatsApp no Frontend"
"Whatsapp number: 55 48 98765 4321. (no spaces)","Número do Whatsapp: 55 48 98765 4321. (sem espaços)"
"WhatsApp Settings","WhatsApp Configurações Gerais"
"Which device do you want to show up the button?","Em quais dispositivos deseja exibir o botão de contato por whatsapp?"
"Yes","Sim"
"You can add personal css script.","Você pode adicionar/customizar seu css."
"You can add personal javascript code.","Você pode adicionar/customizar seu javascript."
